Rank,Team,Subdivision,Record,Score,Opponent Rank Points,Win Points,Margin Points,Games
1,North Dakota State,FBS,2-0,351.0,267.0,20.0,64.0,2
2,USC,FBS,2-0,342.0,267.0,20.0,55.0,2
3,Memphis,FBS,2-0,311.0,267.0,20.0,24.0,2
4,Idaho State,FCS,2-0,241.25,200.25,15.0,26.0,2
5,Tarleton State,FCS,2-0,231.75,200.25,15.0,16.5,2
6,Louisiana Tech,FBS,1-0,217.5,133.5,10.0,74.0,1
7,Virginia Tech,FBS,1-0,213.5,133.5,10.0,70.0,1
8,Kansas State,FBS,1-0,211.5,133.5,10.0,68.0,1
9,UCF,FBS,1-0,210.5,133.5,10.0,67.0,1
10,Arizona State,FBS,1-0,206.5,133.5,10.0,63.0,1
11,Syracuse,FBS,1-0,206.5,133.5,10.0,63.0,1
12,Maryland,FBS,1-0,205.5,133.5,10.0,62.0,1
13,Georgia,FBS,1-0,203.5,133.5,10.0,60.0,1
14,South Carolina,FBS,1-0,200.5,133.5,10.0,57.0,1
15,Army,FBS,1-0,199.5,133.5,10.0,56.0,1
16,BYU,FBS,1-0,199.5,133.5,10.0,56.0,1
17,Ohio State,FBS,1-0,196.5,133.5,10.0,53.0,1
18,App State,FBS,1-0,195.5,133.5,10.0,52.0,1
19,Minnesota,FBS,1-0,195.5,133.5,10.0,52.0,1
20,Texas,FBS,1-0,195.5,133.5,10.0,52.0,1
21,Utah,FBS,1-0,195.5,133.5,10.0,52.0,1
22,Oklahoma,FBS,1-0,194.5,133.5,10.0,51.0,1
23,Texas A&M,FBS,1-0,193.5,133.5,10.0,50.0,1
24,Georgia State,FBS,1-0,192.5,133.5,10.0,49.0,1
25,Mississippi State,FBS,1-0,192.5,133.5,10.0,49.0,1
26,UConn,FBS,1-0,192.5,133.5,10.0,49.0,1
27,Kennesaw State,FBS,1-0,190.5,133.5,10.0,47.0,1
28,Tennessee,FBS,1-0,190.5,133.5,10.0,47.0,1
29,Southern Miss,FBS,1-0,189.5,133.5,10.0,46.0,1
30,Florida,FBS,1-0,188.5,133.5,10.0,45.0,1
31,Kansas,FBS,1-0,188.5,133.5,10.0,45.0,1
32,Penn State,FBS,1-0,188.5,133.5,10.0,45.0,1
33,Pittsburgh,FBS,1-0,188.5,133.5,10.0,45.0,1
34,LSU,FBS,1-0,184.5,133.5,10.0,41.0,1
35,Montana State,FCS,2-0,184.0,133.5,10.0,40.5,2
36,Iowa,FBS,1-0,183.5,133.5,10.0,40.0,1
37,Missouri,FBS,1-0,183.5,133.5,10.0,40.0,1
38,Miami,FBS,1-0,182.5,133.5,10.0,39.0,1
39,Alabama,FBS,1-0,181.5,133.5,10.0,38.0,1
40,Indiana,FBS,1-0,179.5,133.5,10.0,36.0,1
41,Delaware,FBS,1-0,178.5,133.5,10.0,35.0,1
42,Nevada,FBS,1-0,178.5,133.5,10.0,35.0,1
43,Air Force,FBS,1-0,177.5,133.5,10.0,34.0,1
44,Mercer,FCS,2-0,177.0,133.5,10.0,33.5,2
45,San Diego State,FBS,1-0,176.5,133.5,10.0,33.0,1
46,Kentucky,FBS,1-0,175.5,133.5,10.0,32.0,1
47,Georgia Southern,FBS,1-0,174.5,133.5,10.0,31.0,1
48,Louisiana,FBS,1-0,174.5,133.5,10.0,31.0,1
49,New Mexico,FBS,1-0,174.5,133.5,10.0,31.0,1
50,UTSA,FBS,1-0,172.5,133.5,10.0,29.0,1
51,North Dakota,FCS,2-0,172.0,133.5,10.0,28.5,2
52,Lehigh,FCS,2-0,171.5,133.5,10.0,28.0,2
53,Arizona,FBS,1-0,171.5,133.5,10.0,28.0,1
54,Iowa State,FBS,1-0,171.5,133.5,10.0,28.0,1
55,Nebraska,FBS,1-0,171.5,133.5,10.0,28.0,1
56,Notre Dame,FBS,1-0,171.5,133.5,10.0,28.0,1
57,Rice,FBS,1-0,171.5,133.5,10.0,28.0,1
58,South Dakota,FCS,2-0,170.5,133.5,10.0,27.0,2
59,Navy,FBS,1-0,170.5,133.5,10.0,27.0,1
60,Virginia,FBS,1-0,169.5,133.5,10.0,26.0,1
61,Purdue,FBS,1-0,168.5,133.5,10.0,25.0,1
62,South Alabama,FBS,1-0,168.5,133.5,10.0,25.0,1
63,Stephen F. Austin,FCS,2-0,167.5,133.5,10.0,24.0,2
64,Middle Tennessee,FBS,1-0,167.5,133.5,10.0,24.0,1
65,Temple,FBS,1-0,167.5,133.5,10.0,24.0,1
66,Texas Tech,FBS,1-0,166.5,133.5,10.0,23.0,1
67,Colorado State,FBS,1-0,165.5,133.5,10.0,22.0,1
68,Wake Forest,FBS,1-0,165.5,133.5,10.0,22.0,1
69,Montana,FCS,2-0,164.5,133.5,10.0,21.0,2
70,Old Dominion,FBS,1-0,164.5,133.5,10.0,21.0,1
71,UCLA,FBS,1-0,164.5,133.5,10.0,21.0,1
72,Tennessee Tech,FCS,2-0,163.0,133.5,10.0,19.5,2
73,UC Davis,FCS,2-0,163.0,133.5,10.0,19.5,2
74,Cincinnati,FBS,1-0,162.5,133.5,10.0,19.0,1
