Rank,Team,Subdivision,Record,Score,Week 1 Score,Week 2 Opponent Rank Points,Week 2 Win Points,Week 2 Margin Points,Week 2 Game Points,Opponent Strength
1,North Dakota State,FBS,3-0,591.0,351.0,224.0,10.0,6.0,240.0,491.0
2,USC,FBS,3-0,590.0,342.0,219.0,10.0,19.0,248.0,486.0
3,Texas A&M,FBS,2-0,488.0,193.5,256.5,10.0,28.0,294.5,390.0
4,LSU,FBS,2-0,486.5,184.5,261.0,10.0,31.0,302.0,394.5
5,Maryland,FBS,2-0,481.5,205.5,242.0,10.0,24.0,276.0,375.5
6,Mississippi State,FBS,2-0,475.0,192.5,247.5,10.0,25.0,282.5,381.0
7,Pittsburgh,FBS,2-0,461.5,188.5,258.0,10.0,5.0,273.0,391.5
8,Texas,FBS,2-0,456.5,195.5,250.0,10.0,1.0,261.0,383.5
9,Georgia State,FBS,2-0,456.0,192.5,239.5,10.0,14.0,263.5,373.0
10,Missouri,FBS,2-0,446.0,183.5,235.5,10.0,17.0,262.5,369.0
11,Notre Dame,FBS,2-0,446.0,171.5,212.5,10.0,52.0,274.5,346.0
12,Virginia Tech,FBS,2-0,443.5,213.5,197.0,10.0,23.0,230.0,330.5
13,Alabama,FBS,2-0,440.5,181.5,221.0,10.0,28.0,259.0,354.5
14,BYU,FBS,2-0,433.0,199.5,212.5,10.0,11.0,233.5,346.0
15,Montana State,FCS,3-0,432.5,184.0,225.5,10.0,13.0,248.5,492.5
16,Auburn,FBS,2-0,427.5,144.5,238.0,10.0,35.0,283.0,371.5
17,Utah,FBS,2-0,427.5,195.5,189.0,10.0,33.0,232.0,322.5
18,Florida,FBS,2-0,426.5,188.5,179.0,10.0,49.0,238.0,312.5
19,Penn State,FBS,2-0,419.5,188.5,203.0,10.0,18.0,231.0,336.5
20,South Florida,FBS,2-0,419.0,153.5,251.5,10.0,4.0,265.5,385.0
21,UCLA,FBS,2-0,414.5,164.5,222.0,10.0,18.0,250.0,355.5
22,Iowa,FBS,2-0,409.0,183.5,212.5,10.0,3.0,225.5,346.0
23,Vanderbilt,FBS,2-0,407.0,162.5,225.5,10.0,9.0,244.5,359.0
24,Michigan,FBS,2-0,406.5,144.5,245.0,10.0,7.0,262.0,378.5
25,SMU,FBS,2-0,397.0,146.5,194.5,10.0,46.0,250.5,328.0
26,Wake Forest,FBS,2-0,383.0,165.5,205.5,10.0,2.0,217.5,339.0
27,Indiana,FBS,2-0,379.5,179.5,135.0,10.0,55.0,200.0,268.5
28,Cincinnati,FBS,2-0,366.5,162.5,142.0,10.0,52.0,204.0,275.5
29,Duke,FBS,2-0,363.5,157.5,192.0,10.0,4.0,206.0,325.5
30,Miami,FBS,2-0,353.5,182.5,91.0,10.0,70.0,171.0,224.5
31,West Virginia,FBS,2-0,350.5,150.5,145.0,10.0,45.0,200.0,278.5
32,Colorado State,FBS,2-0,339.0,165.5,129.5,10.0,34.0,173.5,263.0
33,James Madison,FBS,2-0,337.0,150.5,92.5,10.0,84.0,186.5,226.0
